#Date	Run #	Online Area	Online CC	Online Pol	Offline CC	Offline Pol
06/13/22	16062	-0.0627540	-9.126	57.27	-6.887	43.22
06/13/22	16064	-0.0834576	-9.126	76.16	-6.887	57.48
06/13/22	16066	-0.0834576	-9.126	76.16	-6.887	57.48
06/14/22	16067	-0.0834576	-9.126	76.16	-6.887	57.48
06/14/22	16068	-0.0834576	-9.126	76.16	-6.887	57.48
06/14/22	16069	-0.0834576	-9.126	76.16	-6.887	57.48
06/14/22	16071	-0.0834576	-9.126	76.16	-6.887	57.48
06/14/22	16074	-0.0935077	-9.126	85.34	-6.887	64.40
06/14/22	16075	-0.0935077	-9.126	85.34	-6.887	64.40
06/15/22	16076	-0.0935077	-9.126	85.34	-6.887	64.40
06/15/22	16077	-0.0935077	-9.126	85.34	-6.887	64.40
06/15/22	16078	-0.0935077	-9.126	85.34	-6.887	64.40
06/20/22	16137	-0.1083990	-5.24673	56.87	-5.204	56.42
06/20/22	16138	-0.1184000	-5.24673	62.12	-5.204	61.62
06/20/22	16144	-0.1184000	-5.24673	62.12	-5.204	61.62
06/20/22	16145	-0.1184000	-5.24673	62.12	-5.204	61.62
06/21/22	16146	-0.1083990	-5.24673	56.87	-5.204	56.42
06/21/22	16147	-0.1184000	-5.24673	62.12	-5.204	61.62
06/21/22	16148	-0.1184000	-5.24673	62.12	-5.204	61.62
06/21/22	16152	-0.1184000	-5.24673	62.12	-5.204	61.62
06/22/22	16156	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/22/22	16157	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/22/22	16158	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/22/22	16164	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/22/22	16166	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/22/22	16167	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/22/22	16168	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/22/22	16169	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/22/22	16170	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/23/22	16174	0.1071650	-5.24673	-56.23	-5.204	-55.77
06/23/22	16178	0.1071650	-5.24673	-56.23	-5.204	-55.77
07/01/22	16211	-0.1804940	-3.6665	66.18	-3.433	61.97
07/02/22	16213	-0.1804940	-3.6665	66.18	-3.433	61.97
07/02/22	16214	-0.1904940	-3.6665	69.84	-3.433	65.40
07/02/22	16220	-0.1904940	-3.6665	69.84	-3.433	65.40
07/02/22	16221	-0.1904940	-3.6665	69.84	-3.433	65.40
07/02/22	16222	-0.1904940	-3.6665	69.84	-3.433	65.40
07/02/22	16223	-0.1904940	-3.6665	69.84	-3.433	65.40
07/03/22	16224	-0.1904940	-3.6665	69.84	-3.433	65.40
07/03/22	16225	-0.1904940	-3.6665	69.84	-3.433	65.40
07/03/22	16226	-0.1904940	-3.6665	69.84	-3.433	65.40
07/03/22	16228	-0.1904940	-3.6665	69.84	-3.433	65.40
07/03/22	16231	0.1261930	-3.6665	-46.27	-3.433	-43.32
07/03/22	16232	0.1462600	-3.6665	-53.63	-3.433	-50.21
07/03/22	16233	0.1563470	-3.6665	-57.32	-3.433	-53.68
07/04/22	16234	0.1563470	-3.6665	-57.32	-3.433	-53.68
07/04/22	16235	0.1563470	-3.6665	-57.32	-3.433	-53.68
07/04/22	16236	0.1563470	-3.6665	-57.32	-3.433	-53.68
07/04/22	16238	0.1563470	-3.6665	-57.32	-3.433	-53.68
07/04/22	16241	0.1563470	-3.6665	-57.32	-3.433	-53.68
07/04/22	16242	0.1563470	-3.6665	-57.32	-3.433	-53.68
07/04/22	16243	0.1563470	-3.6665	-57.32	-3.433	-53.68
07/04/22	16244	0.1563470	-3.6665	-57.32	-3.433	-53.68
07/04/22	16245	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/04/22	16246	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/05/22	16248	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/05/22	16249	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/05/22	16250	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/05/22	16251	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/05/22	16252	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/05/22	16253	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/05/22	16254	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/05/22	16256	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/05/22	16257	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/06/22	16259	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/06/22	16260	0.1665110	-3.6665	-61.05	-3.433	-57.17
07/14/22	16317	-0.1600630	-3.7019	59.25	-3.433	54.95
07/15/22	16318	-0.1600630	-3.7019	59.25	-3.433	54.95
07/15/22	16320	-0.1600630	-3.7019	59.25	-3.433	54.95
07/15/22	16321	-0.1600630	-3.7019	59.25	-3.433	54.95
07/15/22	16322	-0.1600630	-3.7019	59.25	-3.433	54.95
07/15/22	16323	-0.1600630	-3.7019	59.25	-3.433	54.95
07/15/22	16325	-0.1600630	-3.7019	59.25	-3.433	54.95
07/15/22	16326	-0.1600630	-3.7019	59.25	-3.433	54.95
07/15/22	16327	-0.1600630	-3.7019	59.25	-3.433	54.95
07/16/22	16328	-0.1600630	-3.7019	59.25	-3.433	54.95
07/16/22	16329	-0.1600630	-3.7019	59.25	-3.433	54.95
07/16/22	16330	-0.1600630	-3.7019	59.25	-3.433	54.95
07/16/22	16331	-0.1600630	-3.7019	59.25	-3.433	54.95
07/16/22	16332	-0.1600630	-3.7019	59.25	-3.433	54.95
07/16/22	16333	-0.1600630	-3.7019	59.25	-3.433	54.95
07/16/22	16334	0.1298820	-3.7019	-48.08	-3.433	-44.59
07/16/22	16335	0.1298820	-3.7019	-48.08	-3.433	-44.59
07/17/22	16336	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/17/22	16337	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/17/22	16338	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/17/22	16339	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/17/22	16341	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/17/22	16343	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/17/22	16345	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/17/22	16346	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/18/22	16348	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/18/22	16350	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/18/22	16352	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/18/22	16353	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/18/22	16354	0.1400110	-3.7019	-51.83	-3.433	-48.07
07/18/22	16355	0.1400110	-3.7019	-51.83	-3.433	-48.07
