Runs;PbPt;Error_PbPt
16328,16329,16330;0.65;0.11
16346,16348,16353;-0.57;0.10
16455,16460,16493;-0.32;0.07
16726,16728,16744,16746,16750,16759,16762;0.67;0.10
16889,16911,16912,16913,16922;0.44;0.08
17227,17237,17240,17245,17246;-0.43;0.05
17191,17195,17212;-0.70;0.09
16318,16320,16321,16327;0.63 ;0.07
16335,16338,16341,16343;-0.65;0.07
17221,17222,17224;0.67;0.12
16317,16318,16320,16321,16322,16323,16325,16327,16328,16329,16330,16331,16332,16333;0.795;0.118
16335,16336,16337,16338,16339,16341,16343,16345,16346,16348,16350,16352,16353,16354,16355,16356,16357;-0.741;0.090
