#run	start_time	stop_time	species	cell	charge_avg_online	charge_avg_offline_cc	charge_avg_offline	charge_avg_offline_err	run_dose(Pe/cm2)	cc_on	cc_off	cc_off_err	pol_on	pol_off	pol_off_err	pol_off_m2	pol_off_m2_err
16062	2022-06-13 17:56:00-04:00	2022-06-13 18:29:00-04:00	p	15	0.0000	0.0000	0.0000	0.000000	0.0	-9.1267	-9.6057	0.4677	0.6856	0.6886	0.029341	0.6861	0.004729
16064	2022-06-13 20:26:00-04:00	2022-06-13 21:58:00-04:00	p	15	0.0000	0.0000	0.0000	0.000000	0.0	-9.1267	-9.6057	0.4677	0.8245	0.8305	0.004595	0.8305	0.003418
16066	2022-06-13 23:44:00-04:00	2022-06-14 01:59:00-04:00	p	15	0.8237	0.8669	0.8296	0.003558	0.040779609342675945	-9.1267	-9.6057	0.4677	0.8237	0.8296	0.006328	0.8296	0.003464
16067	2022-06-14 02:01:00-04:00	2022-06-14 05:51:00-04:00	p	15	0.8227	0.8659	0.8283	0.003562	0.040930626610602365	-9.1267	-9.6057	0.4677	0.8247	0.8303	0.006041	0.8302	0.002654
16068	2022-06-14 05:53:00-04:00	2022-06-14 06:04:00-04:00	p	15	0.8294	0.8730	0.8356	0.011767	0.0036755564993780202	-9.1267	-9.6057	0.4677	0.8295	0.8356	0.000582	0.8356	0.011746
16069	2022-06-14 06:10:00-04:00	2022-06-14 08:35:00-04:00	p	15	0.8263	0.8697	0.8319	0.003720	0.03741564477379782	-9.1267	-9.6057	0.4677	0.8264	0.8319	0.001288	0.8319	0.003353
16071	2022-06-14 15:17:00-04:00	2022-06-14 15:41:00-04:00	p	15	0.0000	0.0000	0.0000	0.000000	0.0	-9.1267	-9.6057	0.4677	0.8468	0.8536	0.000777	0.8536	0.008485
16074	2022-06-14 20:17:00-04:00	2022-06-14 22:34:00-04:00	p	15	0.8365	0.8804	0.8436	0.003653	0.03825305780763744	-9.1267	-9.6057	0.4677	0.8370	0.8440	0.004949	0.8440	0.003499
16075	2022-06-14 22:36:00-04:00	2022-06-15 00:50:00-04:00	p	15	0.8285	0.8720	0.8351	0.003557	0.03976975561169847	-9.1267	-9.6057	0.4677	0.8286	0.8351	0.001648	0.8351	0.003487
16076	2022-06-15 00:52:00-04:00	2022-06-15 02:53:00-04:00	p	15	0.8276	0.8710	0.8339	0.003685	0.038374835620717695	-9.1267	-9.6057	0.4677	0.8276	0.8339	0.000797	0.8339	0.003676
16077	2022-06-15 02:55:00-04:00	2022-06-15 05:17:00-04:00	p	15	0.8269	0.8703	0.8330	0.003619	0.03694085494077849	-9.1267	-9.6057	0.4677	0.8270	0.8331	0.000886	0.8331	0.003392
16078	2022-06-15 05:22:00-04:00	2022-06-15 07:41:00-04:00	p	15	0.8313	0.8749	0.8373	0.005776	0.015563390787814373	-9.1267	-9.6057	0.4677	0.8315	0.8376	0.001860	0.8376	0.003435
16137	2022-06-20 00:02:00-04:00	2022-06-20 07:13:00-04:00	p	15	0.6343	0.6292	0.6089	0.000803	0.32297765197079775	-5.2467	-5.2040	0.1361	0.6347	0.6092	0.005122	0.6091	0.000764
16138	2022-06-20 07:17:00-04:00	2022-06-20 14:57:00-04:00	p	15	0.6332	0.6281	0.6044	0.000851	0.2769746337653729	-5.2467	-5.2040	0.1361	0.6332	0.6043	0.002686	0.6043	0.000793
16144	2022-06-20 16:02:00-04:00	2022-06-20 20:05:00-04:00	p	15	0.6306	0.6254	0.5974	0.001062	0.1757196471096532	-5.2467	-5.2040	0.1361	0.6306	0.5975	0.001347	0.5975	0.000998
16145	2022-06-20 20:09:00-04:00	2022-06-21 00:05:00-04:00	p	15	0.6284	0.6233	0.5940	0.001109	0.16073856096154654	-5.2467	-5.2040	0.1361	0.6285	0.5941	0.001219	0.5941	0.001029
16146	2022-06-21 00:08:00-04:00	2022-06-21 03:08:00-04:00	p	15	0.6261	0.6210	0.5911	0.002156	0.04477615836788383	-5.2467	-5.2040	0.1361	0.6263	0.5913	0.001640	0.5913	0.001996
16147	2022-06-21 03:13:00-04:00	2022-06-21 03:37:00-04:00	p	15	0.0000	0.0000	0.0000	0.000000	0.0	-5.2467	-5.2040	0.1361	0.6364	0.6022	0.001737	0.6022	0.004368
16148	2022-06-21 04:03:00-04:00	2022-06-21 08:26:00-04:00	p	15	0.6284	0.6233	0.5947	0.001119	0.16209017571410284	-5.2467	-5.2040	0.1361	0.6290	0.5955	0.002426	0.5955	0.000957
16152	2022-06-21 19:57:00-04:00	2022-06-21 20:52:00-04:00	p	15	-0.5623	-0.5578	-0.5273	0.002240	0.029996822398829334	-5.2467	-5.2040	0.1361	-0.5623	-0.5274	0.000664	-0.5274	0.001860
16156	2022-06-22 21:37:00-04:00	2022-06-22 23:43:00-04:00	p	15	-0.5815	-0.5767	-0.5445	0.001846	0.05139863949845907	-5.2467	-5.2040	0.1361	-0.5826	-0.5457	0.001978	-0.5457	0.001266
16157	2022-06-22 00:11:00-04:00	2022-06-22 04:06:00-04:00	p	15	-0.5772	-0.5725	-0.5411	0.001473	0.0741650546162745	-5.2467	-5.2040	0.1361	-0.5776	-0.5416	0.001013	-0.5416	0.000922
16158	2022-06-22 04:08:00-04:00	2022-06-22 06:01:00-04:00	p	15	-0.5768	-0.5721	-0.5403	0.001700	0.061797913066174166	-5.2467	-5.2040	0.1361	-0.5775	-0.5409	0.001724	-0.5409	0.001319
16164	2022-06-22 10:27:00-04:00	2022-06-22 10:53:00-04:00	p	15	-0.5839	-0.5792	-0.5461	0.005921	0.0038893881782155687	-5.2467	-5.2040	0.1361	-0.5835	-0.5459	0.000533	-0.5459	0.002800
16166	2022-06-22 12:08:00-04:00	2022-06-22 13:08:00-04:00	p	15	-0.5813	-0.5766	-0.5453	0.001944	0.041715685688131734	-5.2467	-5.2040	0.1361	-0.5813	-0.5453	0.001498	-0.5452	0.001841
16167	2022-06-22 13:10:00-04:00	2022-06-22 16:34:00-04:00	p	15	-0.5796	-0.5749	-0.5432	0.001191	0.1071849137404298	-5.2467	-5.2040	0.1361	-0.5799	-0.5433	0.001087	-0.5433	0.000990
16168	2022-06-22 17:00:00-04:00	2022-06-22 18:01:00-04:00	p	15	-0.5826	-0.5778	-0.5457	0.003212	0.010510850826976687	-5.2467	-5.2040	0.1361	-0.5837	-0.5466	0.001932	-0.5466	0.001816
16169	2022-06-22 20:22:00-04:00	2022-06-22 21:29:00-04:00	p	15	-0.5826	-0.5779	-0.5455	0.002605	0.021893529241755715	-5.2467	-5.2040	0.1361	-0.5822	-0.5452	0.001528	-0.5452	0.001729
16170	2022-06-22 22:35:00-04:00	2022-06-23 02:51:00-04:00	p	15	-0.5789	-0.5742	-0.5417	0.000986	0.17428624272816978	-5.2467	-5.2040	0.1361	-0.5790	-0.5417	0.002063	-0.5417	0.000880
16174	2022-06-23 03:23:00-04:00	2022-06-23 03:40:00-04:00	p	15	-0.5792	-0.5745	-0.5409	0.003477	0.014097305928228731	-5.2467	-5.2040	0.1361	-0.5791	-0.5408	0.000727	-0.5408	0.003430
16178	2022-06-23 04:06:00-04:00	2022-06-23 06:16:00-04:00	p	15	-0.5728	-0.5682	-0.5349	0.001259	0.11458278644428273	-5.2467	-5.2040	0.1361	-0.5728	-0.5348	0.002917	-0.5348	0.001222
16211	2022-07-01 20:41:00-04:00	2022-07-02 01:15:00-04:00	p	15	0.6854	0.6838	0.6648	0.001472	0.15287554165544856	-3.6665	-3.6582	0.1108	0.6864	0.6658	0.005851	0.6657	0.001211
16213	2022-07-02 01:47:00-04:00	2022-07-02 04:44:00-04:00	p	15	0.6966	0.6950	0.6752	0.001834	0.09896737735947161	-3.6665	-3.6582	0.1108	0.6968	0.6753	0.000523	0.6753	0.001528
16214	2022-07-02 04:48:00-04:00	2022-07-02 08:41:00-04:00	p	15	0.6976	0.6960	0.6755	0.001523	0.15755310377703147	-3.6665	-3.6582	0.1108	0.6976	0.6755	0.000784	0.6755	0.001334
16220	2022-07-02 10:31:00-04:00	2022-07-02 10:40:00-04:00	p	15	0.7011	0.6995	0.6785	0.008943	0.003763497376197306	-3.6665	-3.6582	0.1108	0.7010	0.6785	0.000268	0.6785	0.006495
16221	2022-07-02 12:15:00-04:00	2022-07-02 16:23:00-04:00	p	15	0.6975	0.6960	0.6746	0.001512	0.15103292675425212	-3.6665	-3.6582	0.1108	0.6980	0.6751	0.003052	0.6751	0.001293
