#run,start_time,stop_time,species,cell,charge_avg_online,charge_avg_offline_cc,charge_avg_offline,charge_avg_offline_err,run_dose(Pe/cm2),cc_on,cc_off,cc_off_err
16066,2022-06-13 23:44:00-04:00,2022-06-14 01:59:00-04:00,p,15,0.8237,0.8669,0.8296,0.003558,0.0407796093426759,-9.1267,-9.6057,0.4677
16067,2022-06-14 02:01:00-04:00,2022-06-14 05:51:00-04:00,p,15,0.8227,0.8659,0.8283,0.003562,0.0409306266106023,-9.1267,-9.6057,0.4677
16069,2022-06-14 06:10:00-04:00,2022-06-14 08:35:00-04:00,p,15,0.8263,0.8697,0.8319,0.00372,0.0374156447737978,-9.1267,-9.6057,0.4677
16074,2022-06-14 20:17:00-04:00,2022-06-14 22:34:00-04:00,p,15,0.8365,0.8804,0.8436,0.003653,0.0382530578076374,-9.1267,-9.6057,0.4677
16075,2022-06-14 22:36:00-04:00,2022-06-15 00:50:00-04:00,p,15,0.8285,0.872,0.8351,0.003557,0.0397697556116984,-9.1267,-9.6057,0.4677
16076,2022-06-15 00:52:00-04:00,2022-06-15 02:53:00-04:00,p,15,0.8276,0.871,0.8339,0.003685,0.0383748356207176,-9.1267,-9.6057,0.4677
16077,2022-06-15 02:55:00-04:00,2022-06-15 05:17:00-04:00,p,15,0.8269,0.8703,0.833,0.003619,0.0369408549407784,-9.1267,-9.6057,0.4677
16078,2022-06-15 05:22:00-04:00,2022-06-15 07:41:00-04:00,p,15,0.8313,0.8749,0.8373,0.005776,0.0155633907878143,-9.1267,-9.6057,0.4677
16137,2022-06-20 00:02:00-04:00,2022-06-20 07:13:00-04:00,p,15,0.6343,0.6292,0.6089,0.000803,0.3229776519707977,-5.2467,-5.204,0.1361
16138,2022-06-20 07:17:00-04:00,2022-06-20 14:57:00-04:00,p,15,0.6332,0.6281,0.6044,0.000851,0.2769746337653729,-5.2467,-5.204,0.1361
16144,2022-06-20 16:02:00-04:00,2022-06-20 20:05:00-04:00,p,15,0.6306,0.6254,0.5974,0.001062,0.1757196471096532,-5.2467,-5.204,0.1361
16145,2022-06-20 20:09:00-04:00,2022-06-21 00:05:00-04:00,p,15,0.6284,0.6233,0.594,0.001109,0.1607385609615465,-5.2467,-5.204,0.1361
16146,2022-06-21 00:08:00-04:00,2022-06-21 03:08:00-04:00,p,15,0.6261,0.621,0.5911,0.002156,0.0447761583678838,-5.2467,-5.204,0.1361
16148,2022-06-21 04:03:00-04:00,2022-06-21 08:26:00-04:00,p,15,0.6284,0.6233,0.5947,0.001119,0.1620901757141028,-5.2467,-5.204,0.1361
16156,2022-06-22 21:37:00-04:00,2022-06-22 23:43:00-04:00,p,15,-0.5815,-0.5767,-0.5445,0.001846,0.051398639498459,-5.2467,-5.204,0.1361
16157,2022-06-22 00:11:00-04:00,2022-06-22 04:06:00-04:00,p,15,-0.5772,-0.5725,-0.5411,0.001473,0.0741650546162745,-5.2467,-5.204,0.1361
16158,2022-06-22 04:08:00-04:00,2022-06-22 06:01:00-04:00,p,15,-0.5768,-0.5721,-0.5403,0.0017,0.0617979130661741,-5.2467,-5.204,0.1361
16164,2022-06-22 10:27:00-04:00,2022-06-22 10:53:00-04:00,p,15,-0.5839,-0.5792,-0.5461,0.005921,0.0038893881782155,-5.2467,-5.204,0.1361
16166,2022-06-22 12:08:00-04:00,2022-06-22 13:08:00-04:00,p,15,-0.5813,-0.5766,-0.5453,0.001944,0.0417156856881317,-5.2467,-5.204,0.1361
16167,2022-06-22 13:10:00-04:00,2022-06-22 16:34:00-04:00,p,15,-0.5796,-0.5749,-0.5432,0.001191,0.1071849137404298,-5.2467,-5.204,0.1361
16168,2022-06-22 17:00:00-04:00,2022-06-22 18:01:00-04:00,p,15,-0.5826,-0.5778,-0.5457,0.003212,0.0105108508269766,-5.2467,-5.204,0.1361
16169,2022-06-22 20:22:00-04:00,2022-06-22 21:29:00-04:00,p,15,-0.5826,-0.5779,-0.5455,0.002605,0.0218935292417557,-5.2467,-5.204,0.1361
16170,2022-06-22 22:35:00-04:00,2022-06-23 02:51:00-04:00,p,15,-0.5789,-0.5742,-0.5417,0.000986,0.1742862427281697,-5.2467,-5.204,0.1361
16178,2022-06-23 04:06:00-04:00,2022-06-23 06:16:00-04:00,p,15,-0.5728,-0.5682,-0.5349,0.001259,0.1145827864442827,-5.2467,-5.204,0.1361
16211,2022-07-01 20:41:00-04:00,2022-07-02 01:15:00-04:00,p,15,0.6854,0.6838,0.6648,0.001472,0.1528755416554485,-3.6665,-3.6582,0.1108
16213,2022-07-02 01:47:00-04:00,2022-07-02 04:44:00-04:00,p,15,0.6966,0.695,0.6752,0.001834,0.0989673773594716,-3.6665,-3.6582,0.1108
16214,2022-07-02 04:48:00-04:00,2022-07-02 08:41:00-04:00,p,15,0.6976,0.696,0.6755,0.001523,0.1575531037770314,-3.6665,-3.6582,0.1108
16221,2022-07-02 12:15:00-04:00,2022-07-02 16:23:00-04:00,p,15,0.6975,0.696,0.6746,0.001512,0.1510329267542521,-3.6665,-3.6582,0.1108
16222,2022-07-02 16:28:00-04:00,2022-07-02 20:23:00-04:00,p,15,0.6926,0.6911,0.6689,0.001432,0.1767381955720628,-3.6665,-3.6582,0.1108
16223,2022-07-02 20:32:00-04:00,2022-07-03 00:32:00-04:00,p,15,0.6887,0.6872,0.664,0.001333,0.2033306259648987,-3.6665,-3.6582,0.1108
16224,2022-07-03 00:34:00-04:00,2022-07-03 01:22:00-04:00,p,15,0.6878,0.6862,0.6626,0.005007,0.0121821358989883,-3.6665,-3.6582,0.1108
16225,2022-07-03 01:58:00-04:00,2022-07-03 03:01:00-04:00,p,15,0.6885,0.687,0.6632,0.002572,0.0520377531415172,-3.6665,-3.6582,0.1108
16226,2022-07-03 03:07:00-04:00,2022-07-03 04:42:00-04:00,p,15,0.6872,0.6856,0.6615,0.002718,0.0441143810823636,-3.6665,-3.6582,0.1108
16228,2022-07-03 05:35:00-04:00,2022-07-03 08:23:00-04:00,p,15,0.6873,0.6857,0.6613,0.00207,0.08546658772324,-3.6665,-3.6582,0.1108
16231,2022-07-03 13:35:00-04:00,2022-07-03 16:59:00-04:00,p,15,-0.5166,-0.5154,-0.4938,0.001322,0.0928817058659198,-3.6665,-3.6582,0.1108
16232,2022-07-03 17:58:00-04:00,2022-07-03 22:00:00-04:00,p,15,-0.5703,-0.569,-0.5455,0.001114,0.1814942459366788,-3.6665,-3.6582,0.1108
16233,2022-07-03 22:03:00-04:00,2022-07-04 02:03:00-04:00,p,15,-0.5852,-0.5839,-0.5595,0.001121,0.1955377414298214,-3.6665,-3.6582,0.1108
16234,2022-07-04 02:07:00-04:00,2022-07-04 02:53:00-04:00,p,15,-0.5906,-0.5892,-0.5642,0.002635,0.0369917162529721,-3.6665,-3.6582,0.1108
16235,2022-07-04 03:05:00-04:00,2022-07-04 03:25:00-04:00,p,15,-0.5922,-0.5908,-0.5657,0.003977,0.0161178807271132,-3.6665,-3.6582,0.1108
16236,2022-07-04 03:31:00-04:00,2022-07-04 04:53:00-04:00,p,15,-0.5938,-0.5924,-0.5672,0.002178,0.0515282861017426,-3.6665,-3.6582,0.1108
16238,2022-07-04 05:19:00-04:00,2022-07-04 05:59:00-04:00,p,15,-0.5946,-0.5932,-0.5678,0.003305,0.0222691391798411,-3.6665,-3.6582,0.1108
16243,2022-07-04 08:17:00-04:00,2022-07-04 11:00:00-04:00,p,15,-0.5993,-0.598,-0.572,0.00143,0.1195357138554815,-3.6665,-3.6582,0.1108
16244,2022-07-04 11:06:00-04:00,2022-07-04 13:11:00-04:00,p,15,-0.6003,-0.5989,-0.5727,0.001668,0.0870892800769273,-3.6665,-3.6582,0.1108
16245,2022-07-04 15:48:00-04:00,2022-07-04 20:26:00-04:00,p,15,-0.6015,-0.6001,-0.5733,0.001103,0.2089734341110774,-3.6665,-3.6582,0.1108
16246,2022-07-04 20:58:00-04:00,2022-07-05 00:58:00-04:00,p,15,-0.6046,-0.6033,-0.5759,0.001155,0.1936788699883119,-3.6665,-3.6582,0.1108
16248,2022-07-05 01:09:00-04:00,2022-07-05 05:08:00-04:00,p,15,-0.6045,-0.6031,-0.5753,0.001193,0.178115738833295,-3.6665,-3.6582,0.1108
16249,2022-07-05 05:10:00-04:00,2022-07-05 06:30:00-04:00,p,15,-0.6058,-0.6045,-0.5764,0.002549,0.0352788143758913,-3.6665,-3.6582,0.1108
16250,2022-07-05 07:37:00-04:00,2022-07-05 08:24:00-04:00,p,15,-0.6047,-0.6033,-0.5753,0.002981,0.0262994028228015,-3.6665,-3.6582,0.1108
16251,2022-07-05 08:37:00-04:00,2022-07-05 09:35:00-04:00,p,15,-0.6053,-0.6039,-0.5756,0.002425,0.0410254513413088,-3.6665,-3.6582,0.1108
16252,2022-07-05 10:35:00-04:00,2022-07-05 12:00:00-04:00,p,15,-0.6065,-0.6051,-0.5768,0.002151,0.0523422605674657,-3.6665,-3.6582,0.1108
16253,2022-07-05 12:24:00-04:00,2022-07-05 16:22:00-04:00,p,15,-0.606,-0.6047,-0.5762,0.001313,0.1361240474974423,-3.6665,-3.6582,0.1108
16256,2022-07-05 16:44:00-04:00,2022-07-05 20:48:00-04:00,p,15,-0.6039,-0.6025,-0.5738,0.001181,0.1834922168074285,-3.6665,-3.6582,0.1108
16257,2022-07-05 20:56:00-04:00,2022-07-06 00:56:00-04:00,p,15,-0.602,-0.6006,-0.5717,0.001158,0.1893410118590861,-3.6665,-3.6582,0.1108
16259,2022-07-06 01:16:00-04:00,2022-07-06 05:16:00-04:00,p,15,-0.5981,-0.5968,-0.568,0.001207,0.1673668846615915,-3.6665,-3.6582,0.1108
16260,2022-07-06 05:22:00-04:00,2022-07-06 07:26:00-04:00,p,15,-0.5968,-0.5955,-0.5667,0.001605,0.0981046257023482,-3.6665,-3.6582,0.1108
16317,2022-07-14 23:30:00-04:00,2022-07-15 00:02:00-04:00,p,15,0.6177,0.6368,0.6119,0.008856,0.0253808167356298,-3.7019,-3.8164,0.5278
16318,2022-07-15 00:05:00-04:00,2022-07-15 02:44:00-04:00,p,15,0.6051,0.6238,0.5986,0.003995,0.1227569104067974,-3.7019,-3.8164,0.5278
